customer_id,signup_date,region,gender,age_group,acquisition_channel,loyalty_tier
C0426,2022-06-15,Abu Dhabi,Male,55+,Instagram,Gold
C0427,2023-03-29,Abu Dhabi,Male,18-24,Email,Bronze
C0428,2023-07-19,Riyadh,Female,55+,Google Search,
C0429,2023-12-24,Abu Dhabi,Female,35-44,Email,Bronze
C0430,2023-03-14,Dubai,Male,45-54,Instagram,Gold
C0431,2023-07-29,Dubai,Male,25-34,Email,Silver
C0432,2022-01-10,Riyadh,Female,25-34,Email,Gold
C0433,2022-04-25,Sharjah,Female,25-34,Email,Platinum
C0434,2022-03-19,Dubai,Female,35-44,Email,Bronze
C0435,2023-12-09,Dubai,Male,18-24,Email,Platinum
C0436,2022-06-02,Sharjah,Male,18-24,Direct,Bronze
C0437,2023-07-13,Dubai,Male,25-34,Instagram,Bronze
C0438,2022-02-06,Riyadh,Female,35-44,Direct,Bronze
C0439,2023-01-14,Sharjah,Male,25-34,Google Search,Silver
C0440,2023-08-20,Dubai,Female,,Instagram,Bronze
C0441,2023-07-20,Dubai,Male,55+,Instagram,Silver
C0442,2022-06-01,Cairo,Female,18-24,Google Search,Silver
C0443,2023-03-17,Abu Dhabi,Female,35-44,Referral,Gold
C0444,2022-05-11,Abu Dhabi,Female,25-34,Referral,Gold
C0445,2022-02-12,Riyadh,Male,45-54,Referral,Bronze
C0446,2022-11-12,Cairo,Male,18-24,Email,Bronze
C0447,2023-01-09,Cairo,Male,35-44,Google Search,Bronze
C0448,2022-02-10,Riyadh,Female,45-54,Instagram,Bronze
C0449,2023-01-02,Abu Dhabi,Female,55+,Google Search,Bronze
C0450,2022-08-04,Dubai,Female,35-44,Google Search,Bronze
C0451,2023-11-30,Riyadh,Female,25-34,Instagram,Bronze
C0452,2022-09-13,Abu Dhabi,Female,35-44,Instagram,Platinum
C0453,2023-11-14,Abu Dhabi,Male,45-54,Email,Silver
C0454,2022-04-16,Cairo,Female,35-44,Referral,Bronze
C0455,2022-12-29,Dubai,Male,18-24,TikTok,Silver
C0456,2023-07-28,Abu Dhabi,Male,55+,TikTok,Bronze
C0457,2023-02-21,Dubai,Female,35-44,Email,Bronze
C0458,2023-09-28,Abu Dhabi,Male,35-44,Google Search,Silver
C0459,2022-06-08,Dubai,Male,25-34,Email,Silver
C0460,2022-08-31,Dubai,Female,35-44,Referral,Bronze
C0461,2022-06-16,Dubai,Male,25-34,Instagram,Platinum
C0462,2022-07-01,Sharjah,Female,35-44,Google Search,Gold
C0463,2023-02-27,Sharjah,Male,,Direct,Silver
C0464,2022-01-26,Abu Dhabi,Male,,Google Search,Silver
C0465,2022-07-03,Cairo,Male,55+,Email,Silver
C0466,2022-12-07,Abu Dhabi,Male,18-24,Email,Bronze
C0467,2023-02-26,Dubai,Female,55+,Instagram,Bronze
C0468,2023-11-17,Riyadh,Male,25-34,Google Search,Bronze
C0469,2022-09-12,Dubai,Female,45-54,Google Search,Silver
C0470,2022-10-01,Cairo,Male,45-54,Instagram,Silver
C0471,2022-06-13,Dubai,Female,35-44,Instagram,Bronze
C0472,2023-12-20,Cairo,Female,35-44,Direct,Platinum
C0473,2022-04-21,Dubai,Female,45-54,Instagram,Gold
C0474,2023-01-27,Riyadh,Male,25-34,Email,Silver
C0475,2022-02-09,Abu Dhabi,Male,25-34,Google Search,Silver
C0476,2023-04-27,Cairo,Male,35-44,TikTok,Gold
C0477,2022-08-16,Dubai,Female,45-54,Instagram,Bronze
C0478,2022-07-24,Abu Dhabi,Male,35-44,Google Search,Gold
C0479,2023-04-17,Cairo,Female,45-54,Direct,Bronze
C0480,2022-12-25,Abu Dhabi,Female,25-34,Direct,Gold
C0481,2022-11-09,Sharjah,Male,45-54,Instagram,Bronze
C0482,2022-08-22,Sharjah,Female,18-24,Direct,Gold
C0483,2022-08-17,Abu Dhabi,Male,35-44,Google Search,Platinum
C0484,2022-01-25,Sharjah,Male,18-24,Google Search,Bronze
C0485,2023-11-07,Abu Dhabi,Female,25-34,Instagram,Silver
C0486,2022-07-17,Cairo,Female,25-34,Instagram,Platinum
C0487,2023-02-13,Dubai,Female,25-34,Referral,Silver
C0488,2022-12-03,Dubai,Male,35-44,Google Search,Gold
C0489,2022-10-13,Cairo,Male,25-34,Google Search,Silver
C0490,2022-03-13,Riyadh,Female,25-34,Referral,Bronze
C0491,2022-10-13,Abu Dhabi,Female,25-34,Referral,Bronze
C0492,2022-12-26,Sharjah,Female,25-34,Instagram,Bronze
C0493,2023-10-19,Dubai,Male,25-34,Email,Gold
C0494,2023-06-06,Dubai,Female,18-24,Instagram,Bronze
C0495,2023-02-14,Abu Dhabi,Male,35-44,Referral,Silver
C0496,2023-11-27,Abu Dhabi,Male,35-44,Email,Silver
C0497,2023-07-04,Abu Dhabi,Female,35-44,TikTok,Silver
C0498,2022-12-06,Dubai,Male,25-34,Instagram,Gold
C0499,2022-01-29,Cairo,Female,25-34,Instagram,Platinum
C0500,2022-04-29,Cairo,Male,45-54,Google Search,Bronze
